id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
138264,Condo in Vienna · ★5.0 · 1 bedroom · 2 beds · 1 bath,675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,153,1,6,2023-05-07,0.10,14,330,1,
322786,Rental unit in Vienna · ★4.49 · 1 bedroom · 3 beds · 1 bath,146196,Sandra,,Neubau,48.20572,16.34609,Entire home/apt,103,3,369,2023-08-15,2.65,4,218,17,
163792,Rental unit in Vienna · ★4.85 · 2 bedrooms · 3 beds · 1 bath,651150,Klaus & Ligia,,Simmering,48.18022,16.41955,Entire home/apt,42,3,124,2023-08-31,0.85,1,36,15,
169672,Rental unit in Vienna · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,808772,Astrid,,Wieden,48.19527,16.36374,Private room,46,2,397,2023-08-12,2.70,1,252,19,
327876,Loft in Vienna · ★4.89 · Studio · 1 bed · 1 bath,1675660,Anja,,Ottakring,48.20902,16.3317,Entire home/apt,79,5,65,2023-04-17,0.48,1,121,8,
333486,Rental unit in Vienna · ★4.77 · 1 bedroom · 1 bed · 1.5 baths,1698829,Susanna,,Leopoldstadt,48.22232,16.3722,Entire home/apt,50,20,14,2023-03-01,0.13,1,0,2,
169752,Rental unit in Vienna · ★4.82 · Studio · 1 bed · 1 bath,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,57,1,77,2023-08-26,0.76,11,102,8,
169852,Rental unit in Vienna · ★4.70 · 1 bedroom · 2 beds · 1 bath,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,91,1,76,2023-08-01,0.53,11,91,6,
172530,Rental unit in Vienna · ★4.76 · 3 bedrooms · 4 beds · 1.5 baths,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,114,1,219,2023-08-27,1.49,11,113,24,
173375,Rental unit in Vienna · ★4.79 · 1 bedroom · 1 bed · 1 bath,827783,Stefan,,Leopoldstadt,48.21664,16.37842,Entire home/apt,83,3,211,2023-09-05,1.43,1,25,47,
349539,Rental unit in Vienna · ★4.90 · 3 bedrooms · 2 beds · 1 shared bath,1770728,Reinhold,,Hernals,48.2188,16.32799,Private room,42,2,13,2019-01-02,0.09,1,0,0,
349560,Rental unit in Vienna · ★4.74 · 1 bedroom · 2 beds · 1 bath,1771038,Agnes,,Landstra§e,48.20916,16.39557,Entire home/apt,145,10,35,2023-02-26,0.30,2,360,3,
349676,Rental unit in Vienna · ★4.73 · 1 bedroom · 3 beds · 1 bath,1771038,Agnes,,Margareten,48.18825,16.3478,Entire home/apt,139,31,41,2022-05-01,0.34,2,365,0,
179857,Rental unit in Vienna · ★4.60 · 3 bedrooms · 4 beds · 1 bath,861392,Gary,,Brigittenau,48.22727966308594,16.37061309814453,Entire home/apt,139,4,53,2018-09-09,0.36,4,330,0,
197787,Condo in Vienna · 1 bedroom · 2 beds · 1 bath,675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,100,1,2,2017-01-05,0.02,14,285,0,
197796,Condo in Vienna · 1 bedroom · 2 beds · 1 bath,675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,122,1,1,2016-08-03,0.01,14,283,0,
197809,Condo in Vienna · ★5.0 · Studio · 1 bed · 1 bath,675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,89,1,6,2022-05-24,0.05,14,288,0,
197822,Condo in Vienna · 1 bedroom · 2 beds · 1 bath,675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,84,1,0,,,14,301,0,
197827,Condo in Vienna · 1 bedroom · 2 beds · 1 bath,675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,95,1,0,,,14,318,0,
197831,Condo in Vienna · 2 bedrooms · 3 beds · 1 bath,675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,148,1,0,,,14,302,0,
197842,Condo in Vienna · ★4.67 · 1 bedroom · 2 beds · 1 bath,675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,148,1,3,2016-12-14,0.02,14,286,0,
197852,Condo in Vienna · Studio · 1 bed · 1 bath,675182,Stephanie,,Hernals,48.22509,16.31632,Entire home/apt,95,1,1,2023-05-21,0.27,14,257,1,
197857,Condo in Vienna · ★5.0 · Studio · 1 bed · 1 bath,675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,95,1,5,2023-06-06,0.04,14,291,2,
197859,Condo in Vienna · ★5.0 · Studio · 1 bed · 1 bath,675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,95,1,4,2022-11-06,0.09,14,283,1,
197865,Condo in Vienna · 2 bedrooms · 5 beds · 1 bath,675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,211,1,1,2014-01-05,0.01,14,306,0,
197870,Serviced apartment in Vienna · 2 bedrooms · 5 beds · 1 bath,675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,211,1,1,2017-05-01,0.01,14,306,0,
197968,Rental unit in Vienna · ★4.74 · 2 bedrooms · 4 beds · 1 bath,965759,Pierre,,Alsergrund,48.21919,16.35505,Entire home/apt,123,1,86,2023-08-13,0.64,2,338,10,
358058,Rental unit in Vienna · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,1785960,Ulrike,,Ottakring,48.21912,16.30937,Private room,31,2,204,2023-09-01,1.46,2,146,21,
358337,Condo in Vienna · ★4.91 · 1 bedroom · 1 bed · 1 private bath,1280395,Barbara,,Mariahilf,48.19283,16.34387,Private room,98,2,11,2023-01-02,0.13,3,358,5,
370985,Rental unit in Vienna · ★4.80 · 1 bedroom · 2 beds · 1 bath,1869188,Peter,,Mariahilf,48.198,16.35492,Entire home/apt,60,3,209,2023-09-03,1.51,1,205,42,
375191,Rental unit in Vienna · ★4.58 · 1 bedroom · 1 bed · 1.5 baths,518644,Michael,,Margareten,48.19339,16.36037,Private room,31,30,38,2023-05-27,0.75,35,215,3,
375192,Rental unit in Vienna · ★4.57 · 1 bedroom · 1 bed · 2 baths,518644,Michael,,Margareten,48.19444,16.35969,Private room,55,1,111,2023-07-30,0.80,35,141,26,
